Prompt,Generation,Coherence,Musical Quality,Pop Style
we're talking away i don't,we're talking away i don't want you to stay up on the dankent and you know that i don't want to bassy in the moonlight i can dear with the bad nights when i'm with you boo the way that i can't stop the feeling to be my bolvecer you aan take me anywhere and you are met me koow that you're deelgn' shat i can't stop the feeling to be my bolvecer you aan take me anywhere and you are met me koow that you're deelgn' shat i can't
na who wants to be,"na who wants to be the one that's how i hope you can the ferll in the moonlng up the say, you know that i hot you wasted you know what you got that sime, it's all in the migdt oh, oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh o"
woman moaning sounds vhs sex,"woman moaning sounds vhs sex uhete they'se staring and she said, ""shut up and dance with me"" this is what you want, don't want my love you got me sh nnth you koow that i dan woukdnt the same and i don't wanna be sogeohe in the morning, i'm shanin' on my mind i heve you to she way iu's sight then you want me to soul ie you want me tp sight now i need you to come over and done to bo love in the norning when i was buane i can't"
i can almost hear your,"i can almost hear your head sp hole in the middle, on i don't wanna be alone i know i wanna be shgnt now i know wh mnlhn the same and i don't wanna be sogeo heartbreake and i know you know i know what i have wourd you danle down the way that i was broke and i know wou' i know wh make it wasseng, i know you want me tp soml and dance with me (i lev you) (i can't stop the feeling that i know you want me th tomethmns we ca"
"once upon a time, not","once upon a time, not i know wh mnlhng that we ho down the same way to say somebody was hold then you know what i do, i live yith you i wanna be shatty mow down the way that i was babk to bean thene in the migdt oh, i hote you got me how you love me, yeah (yeah) yeah) yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, ye"
is there another world you,"is there another world you don't want me to soulu, so heartlegs and i know you want it baby, i love the way i like me better when i'm with you, when i'm with you boo the way that i can't stop the feeling to be my bolvecer you aan take me anywhere and you are met me koow that you're deelgn' shat i can't stop the feeling to be my bolvecer you aan take me anywhere and you are met me koow that you're deelgn' shat i can't stop "
"oh, i know why you're","oh, i know why you're my heart i know you know i know what i have wourd you ban tell me i wanna know what i'm doing to bean thene in the migdt oh, i hote you got me how you love me, yeah (yeah) yeah) yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah,"
"oh, oh, oh oh, oh,","oh, oh, oh oh, oh, oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh "
na every breath you take,"na every breath you take my hand and somk me and i know what i aa, shat these's no one out to go babk the same and i don't wanna be sogeo tp she got the might what you don't wanna be stuek in my foitnese then you got me shatind to hear you tp shent then you know what i want and the way i foe i can't stop the feeling that i know you want it baby, i love hey hey, hey, hey hey, hey, hey hey, hey, hey hey, hey, hey hey, hey,"
dirty looks from your mother,"dirty looks from your mother to me and i know wh met it but now i want to be alone and i know that i'm srill alone with me i wanna be a man you know that i don't want you to stay allig the same and i don't wanna be sogeohe in the morning, i'm shanin' on my mind i heve you to she way iu's sight then you want me to soul ie you want me tp sight now i need you to come over and done to bo love in the norning when i was buane i ca"
