Prompt,Generation,Coherence,Musical Quality,Pop Style
A million thoughts in my,"A million thoughts in my head I don't know what it's like to be a part of your life You're the only one who can make me feel that way When you say, ""I'm not gonna let this go"" (Oh-ooh)",8,6,7
Said she tired of little,"Said she tired of little things She said, ""I don't know what it's like to live in a world where you're the only one.""",7,3,2
"Oh, woah, oh Oh, oh","Oh, woah, oh Oh, oh I don't know what it's like to fall in love with a girl You're the only one who knows that you've got me on your mind And all of my friends are so much better off than we ever thought We'll never see each other again",5,7,2
I get up in the,"I get up in the morning and I don't know what it's like to be a part of my life When you say, ""You're not gonna let me go"" (Oh-ooh) 'Cause no one ever knows where we are We've been together for more than half an hour And every day is different from our last time The only thing that makes us feel so good about",3,5,6
Big Snoop Dogg Can you,"Big Snoop Dogg Can you see me? I don't know what it's like to be a part of the world We're living in an age where we've been so far away From all our friends and family But no one has ever said, ""I'll never say goodbye"" (Oh-ooh) 'Cause my love is on your mind right now A little bit older than",6,6,6
What am I supposed to,"What am I supposed to do? It's been a long time since you got me on my mind And now we're stuck in the middle of nowhere We can't get away from each other 'Cause this is what it feels like To be honest, no one will ever know You've never felt that way before (Oh-ooh) But when they say ""I'm not alone"" They",4,5,8
"Cut my heart about one,","Cut my heart about one, but I don't know what it's like to be a part of the world We're in love with each other and we've been apart for so long (I'm not sure if you'll ever see me again)",8,4,7
"Okay, fine, maybe I'm just","Okay, fine, maybe I'm just trying to figure out what's going on in my head Why don't you think of me like that? You're not the only one who can change your mind and make it all go away (Oh-oh)",9,7,4
"Lying in my bed, I","Lying in my bed, I don't know what it feels like to be alone You're the only thing that you can do for me It's so much more than just a little bit of fun (I've been thinking about myself lately) But this is not your fault No matter how many times we go We'll never get back together 'Cause no one else will ever give up on us",6,6,6
Boy I bet they think,"Boy I bet they think you don't know what it's like to be a boy You're the only one who can make me feel good 'Cause your love is so much bigger than mine (Yeah, yeah) And all of my friends say that we've been together for overin' with each other",4,4,7
Am I or you the,"Am I or you the only one? It's just a matter of time Don't let it get away from me 'Cause we're in love with each other We've been together for more than two years And this is not your fault (I'm sorry) You said, ""Oh-oh"" But my heart goes out to find somebody who can help us Find someone that will be our friend",8,7,5
I never meant to make,"I never meant to make you feel like I'm the only one in my life It's been a long time for me, but now we're on our way out of town We can't get away from each other 'Cause this is so much more than it ever seems So many years have gone by without us And there are still people who say that they've lost their mind (Oh-oh",6,6,3
"Hallelujah, oh, I'm down on","Hallelujah, oh, I'm down on my knees Don't you know what it's like to be alone in the middle of your life? You've been there for a long time And we'll never get back together again We're not gonna let this go away 'Cause no one will ever stop us from loving each other",3,4,5
I wish I was ambitious,"I wish I was ambitious, but it wasn't enough to make my dreams come true It's just a matter of time before you wake up and find yourself in the same place You've been dreaming about your life for more than two or three years And now we're looking at each other with our eyes wide open The only thing that keeps me awake is how far away We'll never be together again",4,3,6
