Prompt,Generation,Coherence,Musical Quality,Pop Style
A million thoughts in my,"A million thoughts in my life, I don't know what it's like to be with someone else You're the only one who can make me feel that way And you've been a part of this world for more than two hundred years (I'm counting on myself)"
Said she tired of little,"Said she tired of little things, 'Cause I don't know what it's like to be alone You're the only one who can get away from me And if you've been there for a long time (I'm gonna stay here forever)"
"Oh, woah, oh Oh, oh","Oh, woah, oh Oh, oh I don't know what it's like to be living in a world where you've been for so long? You're the only one who can make your dreams come true!"
I get up in the,"I get up in the morning, and I don't know what it's like to be a part of my life And if you've got me on your mind You're not alone But we can make things better for each other"
Big Snoop Dogg Can you,"Big Snoop Dogg Can you tell me what it's like to be a part of my life? I've been living in this world for the last three years, and now we're on our way outta town (I don't wanna do that anymore) My heart is beating faster than ever It just keeps getting louder every day Every time someone says ""Oh-oh"" when they say"
What am I supposed to,"What am I supposed to say? Well, it's just a matter of time Let me tell you what the hell is going on in my head Why can't we all be so good for each other?"""
"Cut my heart about one,","Cut my heart about one, and I don't know what it's like to be a part of the world We're in love with each other And we've been together for more than two years Let me tell you that this is not your fault (I'm sorry)"
"Okay, fine, maybe I'm just","Okay, fine, maybe I'm just trying to figure out what's going on in my head You're the only one that can make me feel like you've been around for a long time Don't let it get too much off your mind 'Cause we both know each other better than this One of our best friends is someone who knows all about him And he'll always be there with us We"
"Lying in my bed, I","Lying in my bed, I don't know what it's like to be alone with someone else You're the only one that you've been around for a long time And all of your friends and family have made me feel so much more than they ever had before (I'm not even sure if this is true)"
Boy I bet they think,"Boy I bet they think you don't know what it's like to have sex with a girl You're the only one who can get me out of my head (Yeah, yeah) We've been in love foras ever since we were two weeks ago It was so much more than just walking around and looking at each other 'cause she said ""I'm not gonna let her go"""
Am I or you the,Am I or you the only one? It's just a matter of time for me to change my mind (I don't think about it)
I never meant to make,"I never meant to make you feel the same way I don't know what it's like To be alone in a room with no one around You're so much more than we've ever been Tell me about my love, and how your life has changed My heart is beating out of control (Oh-ooh) The only thing that keeps us from falling into each other 'Cause our hearts are"
"Hallelujah, oh, I'm down on","Hallelujah, oh, I'm down on my knees Don't you know what it's like to be a part of your life? You're not the only one Whoa-hoooh!"
I wish I was ambitious,"I wish I was ambitious, but it took me a long time to find my way There's no doubt in your mind You're the only one who can make this dream come true"
Whispered something in your ear,"Whispered something in your ear? I don't know what it's like to be a part of the world You're not alone, but you've been there for more than two or three years The only thing that makes me feel so sad is how many people have come together and said they'll never see each other again (Oh-ooh) 'Cause no one knows who we are"
I've never seen you looking,"I've never seen you looking in the mirror I don't know what it's like to be on a pedestal You're not gonna let me down The only thing that matters is your love, no matter how far away we are from each other And all of my friends and family have been there for more than one hundred years So why do they feel so bad? They just want someone who can"
Step out into the dawn,"Step out into the dawn, I can't wait for you to wake me up and see what's going on in my head My heart is beating faster than it ever could have been before It was just a matter of time Now that we've got our minds together We're not gonna let this thing go away 'Cause no one cares about us anymore (Oh-oh) You'll never know how"
"NA You're the light, you're","NA You're the light, you're going to make me feel like I've been dreaming for a long time (I don't know if it's right or wrong) All of my friends and family have fallen in love with each other The only thing that we can do is keep us together We'll never be alone 'Cause there are so many people on this planet Who knows what they want?"
You're like a demon on,"You're like a demon on your own, and I don't care what you say It's the only thing that makes me feel good You've got to take it all out of my head (I'm not alone in this world) And we'll never get back together 'Cause our lives are so much better than they could have been If there were no one else who'd let us go We"
Feel the ocean as it,"Feel the ocean as it flows, I don't know what's going to make me feel like you've been waiting for a long time (I'm not sure if we'll ever get together again)"
We were searching for an,"We were searching for an answer, but we couldn't find a way to solve the mystery We had no idea what it would be like When you're in love with one another You've been dreaming of your life But I'm not there yet So let's just wait and see What happens next?"
She just wants to be,"She just wants to be a part of my life, and I don't know what she's gonna do If you're the only one who can make me feel so good You've got it all on your mind right now (I'm in love with her)"
"You, walk alone Every night","You, walk alone Every night you feel the same You don't know what it's like to live in a lonely place All I can do is get out of your mind The only thing that keeps me from feeling so bad (I've been thinking about myself fordays)"
"I'm, I'm good at wasting","I'm, I'm good at wasting my time Don't you know what it's like to be a part of your life You're the only one who can keep me from falling in love?"
Thought that I'd forget about,"Thought that I'd forget about you? Well, it's been a long time for me to know You're not the only one in my life (I don't wanna be alone) And your love is so much more than we've ever known We'll never see each other again"
Just forget it I can,"Just forget it I can't tell you what to do It's just a matter of time You know that we're in love with each other We've been together for the past two or three years (Oh, oh-oh) Just think about your feelings and how they might change Your life will never be different So let me get my hands on My heart is beating faster than ever The only thing"
NA No me puedo dormir,"NA No me puedo dormir, I don't know what it's like to live in a world where you're the only one on your own (I'm not sure if that is true)"
"We had a bad day,","We had a bad day, but we didn't know what to do It's just me and the way it feels like I've been living my whole life The only thing that matters is when you wake up every morning You're not alone in your mind No one should ever be afraid of someone else 'Cause there are so many people on this planet We'll never see each other again Oh-oh"
"If I told you, that","If I told you, that's not what it used to be,"" she said. ""You're the only one who can make a difference."""
Never seen Mona Lisa up,"Never seen Mona Lisa up in front of me I don't know what it's like to be the one that you've been for a long time The only thing we can do right now is just sit back and say ""Hey, hey,"" she said."
Well I know when you're,"Well I know when you're in trouble, but it's hard to get out of the way You've been waiting for a long time Don't give up on me 'Cause my life is so much more than we ever thought We'll never see each other again"
I'll live for you I'd,"I'll live for you I'd be the only one in my life It's just a matter of time You know what it takes to keep me alive 'Cause we can't get away from each other Every day, every night We're gonna go out and do our own thing Oh-ooh!"
"NA I'm sorry for everything,","NA I'm sorry for everything, it's just a matter of time (I don't want to see you again) You're the only one who can make me fall in love With your hands on my back And we'll never be alone We've been together all our lives with each other 'Cause nothing will ever stop us from falling apart This is so much more than anything could have happened If"
The world can be a,"The world can be a waste of time And I don't know what it's like to live in the same place The only thing that you've ever done is make me cry 'Cause we're so different from each other We could never have been together, but there was no one who'd let us go (I'm not alone) There were-boutches on my way home But"
Today I feel like running,"Today I feel like running out of time, but you don't know what's going on in my head You're the only one who can hold me back 'Cause your life is so much better than it used to be (I've been thinking about myself for a while now) So why are we still here? We'll never see each other again And how many times will they ever get together"
To your soul To your,To your soul To your heart You're the only one that can save me And I'll never let you go But it's just a matter of time until we get to know each other
I've been staring at the,"I've been staring at the horizon for a while, but I don't know what it's like to be alone in your life And you'rein' out of my mind"
You got that thing that,"You got that thing that I've been thinking about for a long time, but now it's all over You're the only one who wants to be with me And you don't know what your future will look like When we get older and better together We'll never see each other again"
