Prompt,Generation,Coherence,Musical Quality,Pop Style
I left drinking on the,"I left drinking on the rocks I don't know where you're going But it's been a long time of trying to find my way Back home in California, we were wild and young And there was no one around me That would've let us get away from here 'Cause nothing ever lasts forever You can tell by looking up at your phone No matter what they say The only thing that matters is",8,9,8
I can't wait I've been,"I can't wait I've been thinking 'bout you You're the only thing that's holding me back My heart is beating out of place No matter what it takes It feels so good to be here in my arms Every day, every night Is where we goin' with our hearts open wide Looking for a way To make this dream come true We will never reach an end Nothing better than",9,8,8
Give me peace so I,"Give me peace so I don't know where you're going 'Cause it's a long way down But baby, this is the road that we've been goin' on (Chorus x2)",7,7,8
When you're low And your,"When you're low And your heart is on the floor You don't have to rush It's just a matter of time Before it gets too dark Then I'll be right here by my side We can make this moment last forever No one knows us better than we've ever known So stay with me and let 'em dance until our hearts get tired Your love will never fade away Ooh, o",8,9,9
"Yeah, suite 23 at the","Yeah, suite 23 at the top of my lungs I don't know what it's like to be alone in your bed You're so conceited and self-effacing But you've got me thinking 'bout a little bit more Is there something we can do about this love? We could just let each other have some fun (fun) And no one knows how much time has passed us",8,8,6
I used to leave the,"I used to leave the streets behind But now I'm living in a world full of people Who are gonna wake me up? 'Cause they don't know what it's like To walk around and say, ""Oh my God"" And if you're looking for proof You'll find that your heart is beating faster than an old freight train No matter where we go We will always be right here together",9,8,6
Would you love me less?,"Would you love me less? 'Cause I don't know what it's like to be alone in your life Every day and every night, we're running out of time We've been waiting all our lives for so long No one has ever given a damn about us So many years have passed by And my heart is beating faster than words can write A million hearts are singing songs that will never die",8,7,7
I cut myself down like,"I cut myself down like a prodigal son Screamin' out my name, “cause I don't know what to do” But there's something about it that makes me feel so low-key And when the lights come on We're gonna be right here by your side Maybe we can make this whole thing work for us All of our lives are made up in one big bang",8,8,6
All my life I've been,All my life I've been staring at the ceiling Screamin' 'round and “ching impatiently”I don't know what it's like to be alone in your arms Do you ever wonder if this is real or just for fun? Is there a reason why we're so far from home When all our tears start pouring down Our hearts are beating out Your love will never die We,7,9,7
Dark in the city night,"Dark in the city night And I don't know what it's like to be alone The only thing that matters is you and me We've been here before, so long 'Cause we're running out of time Just hold on a little bit longer (2.5-4) Keep your eyes wide open You'll find yourself there by my side Never gonna leave this party No one will ever let",8,8,6
"In my praise, in my","In my praise, in my deepest respect I'm a man of faith You're the only one that's ever mattered to me So why don't we just hold on and let it go? (We can do this all night long) No matter how hard you try We'll always be right beside each other 'Til our love is strong enough To keep us two separate worlds For better or for",8,9,7
She leads a lonely life,"She leads a lonely life She says, ""I don't know where you're going but I can tell by the look in your eyes it's nothin' at all.""",9,10,8
I can see you hurting,"I can see you hurting me I don't know what it's like to be on the outside looking in Your eyes are red and blue My heart is beating out of my chest You said, ""You're nothing but a stranger"" (Ah-ah) We've been running through this town for so long Why do we always run around? Running from something that no one ever thought could hold back",8,7,8
Through these city nightmares you'd,"Through these city nightmares you'd drive me through the night To find a way to let go But I don't know where we're going 'Cause there's no one home in this town So take my hand and put your hands up We'll never be alone, so just hold on tight You've been here for too long (Long time) And now it feels like nothing at all This place is",9,9,9
"Empty mansion, in the rain","Empty mansion, in the rain Don't know what I'm going to say 'Cause it's been a long time Since you came into my life The only thing that matters is now You've given me all of your love We're still young and beautiful But we were never meant for this one night A thousand miles away from here With our hearts open wide Fingertipses strewn over by",8,9,9
"I tried hard, you know","I tried hard, you know what I'm doin' It's been a long time since we've known each other 'Til the sun comes up and starts to rise We're at an all-time high And my heart is beating out of this Why can't it be more than just for now? Just let me in your arms (Woo!) You'll never see another day like",8,6,6
