Prompt,Generation,Coherence,Musical Quality,Pop Style
A million thoughts in my,"A million thoughts in my head I don't know what it's like to be alone But you've got me thinking 'bout of all the things that we could do To make your life more than just a dream You say, ""I'm not gonna let this go"" (Oh-ooh) My heart is beating so fast Your eyes are wide open And no one knows how many times"
Said she tired of little,"Said she tired of little things in my life She said, ""I don't know what to do"" 'Cause I've been waiting on you for a long time Now it's too late You're the only one who can hold me back We'll be fine until we get outta here."""
"Oh, woah, oh Oh, oh","Oh, woah, oh Oh, oh I don't know what it's like to be alone With all the things that you've been through So let me take a look at your face and say ""I'm sorry"" 'Cause my heart is running out of time (Ooh) And we're in love with each other We got so much more than just one thing Or two or three"
I get up in the,"I get up in the morning And I don't know what it's like to be alone With your eyes wide open and you're staring at me You've been here for a long time (Longtime friend of mine) My heart is beating faster than any human being Can we just keep on moving forward? We could do thate-way, makin' us way too fast 'Cause"
Big Snoop Dogg Can you,"Big Snoop Dogg Can you tell me what it's like to be alone? 'Cause I don't know if we'll ever get enough of each other We've been together for a long time, but this is the only thing that will make us apart Big Snooppin' on my favorite song You're so good at making up your mind (Ooh) But no one knows"
What am I supposed to,"What am I supposed to say? 'Cause when you're with me, don't give a fuck about it So let's go back and see if we can get away from each other We've been living in this world for so long And all the things that make us feel like our bodies are made of different pieces But every time someone says ""I'm not your girl"" (Oh-oh"
"Cut my heart about one,","Cut my heart about one, two And I don't know what it's like to be with somebody else You're the only thing you'll ever see Cut me out of thin air and leave behind a smile on your face 'Cause we've been together for quite some time (Til this past is over) Telling us that our lives are better off than they were before Oh-ooh"
"Okay, fine, maybe I'm just","Okay, fine, maybe I'm just trying to get you out of the way You don't even know what's going on in my head So let me take a look at your face and see if we can make it right 'Til this whole world ends up with no one else We'll never be together again The only thing that matters is our love for each other (Ooh-o"
"Lying in my bed, I","Lying in my bed, I don't know what to say But it's been a long time since you said ""I'm tired of being alone"" You're the only thing that will make me feel this way 'Til next week we get together We'll go out and show each other your love Tossin' up all our clothes (Wear them) And tell us how much"
Boy I bet they think,"Boy I bet they think we're the only ones They don't know what it's like to be in love with a broken heart But when you look at me and say, ""I'm not your type of guy"" (Uh-huh) You've been on my mind for more than two years now And no one else has ever felt this way 'Cause every single day feels so different"
Am I or you the,"Am I or you the only one who knows me? Oh, it's been a long time since we started We're still in love with each other So don't hold your breath and say ""I'm not here to stay"" 'Cause my heart is beating faster Than ever before (Ooh) You've never had this kind of thing for more than two years A million miles away from us"
I never meant to make,"I never meant to make you fall in love with someone else And I don't know where we're going But it's been a long time ago You said, ""Love is the only thing that matters"" (Woo) 'Til my heart beat like an electric guitar The sound of your voice makes me feel so alive So come on and let us sing our favorite songs We'll be singing"
"Hallelujah, oh, I'm down on","Hallelujah, oh, I'm down on my own If you don't know what it's like to be in love with someone else You can tell from the things that we've been through So let me take a look at your face and say ""You're so beautiful"" (Oh-oh) 'Cause no one has ever felt this way before The world is full of people who"
